"category","sub_category","Measure Names","segment","region","ship_mode","Measure Values"
"Furniture","Bookcases","sales","Consumer","West","Second Class",3088
"Furniture","Bookcases","discount","Consumer","West","Standard Class",6.8999999999999995
"Furniture","Bookcases","number_of_records","Consumer","West","Standard Class",28
"Furniture","Bookcases","profit","Consumer","West","Standard Class",-1447
"Furniture","Bookcases","profit_ratio","Consumer","West","Standard Class",-9.06
"Furniture","Bookcases","quantity","Consumer","West","Standard Class",112
"Furniture","Bookcases","sales","Consumer","West","Standard Class",13713
"Furniture","Bookcases","discount","Corporate","Central","First Class",0.9199999999999999
"Furniture","Bookcases","number_of_records","Corporate","Central","First Class",4
"Furniture","Bookcases","profit","Corporate","Central","First Class",-128
"Furniture","Bookcases","profit_ratio","Corporate","Central","First Class",0.010000000000000009
"Furniture","Bookcases","quantity","Corporate","Central","First Class",19
"Furniture","Bookcases","sales","Corporate","Central","First Class",2336
"Furniture","Bookcases","discount","Corporate","Central","Second Class",0.64
"Furniture","Bookcases","number_of_records","Corporate","Central","Second Class",4
"Furniture","Bookcases","profit","Corporate","Central","Second Class",-137
"Furniture","Bookcases","profit_ratio","Corporate","Central","Second Class",-0.13999999999999996
"Furniture","Bookcases","quantity","Corporate","Central","Second Class",17
"Furniture","Bookcases","sales","Corporate","Central","Second Class",1483
"Furniture","Bookcases","discount","Corporate","Central","Standard Class",2.24
"Furniture","Bookcases","number_of_records","Corporate","Central","Standard Class",10
"Furniture","Bookcases","profit","Corporate","Central","Standard Class",-117
"Furniture","Bookcases","profit_ratio","Corporate","Central","Standard Class",-0.88
"Furniture","Bookcases","quantity","Corporate","Central","Standard Class",38
"Furniture","Bookcases","sales","Corporate","Central","Standard Class",4569
"Furniture","Bookcases","discount","Corporate","East","First Class",0.5
"Furniture","Bookcases","number_of_records","Corporate","East","First Class",3
"Furniture","Bookcases","profit","Corporate","East","First Class",152
"Furniture","Bookcases","profit_ratio","Corporate","East","First Class",-0.32000000000000006
"Furniture","Bookcases","quantity","Corporate","East","First Class",14
"Furniture","Bookcases","sales","Corporate","East","First Class",783
"Furniture","Bookcases","discount","Corporate","East","Same Day",0
"Furniture","Bookcases","number_of_records","Corporate","East","Same Day",1
"Furniture","Bookcases","profit","Corporate","East","Same Day",271
"Furniture","Bookcases","profit_ratio","Corporate","East","Same Day",0.26
"Furniture","Bookcases","quantity","Corporate","East","Same Day",4
"Furniture","Bookcases","sales","Corporate","East","Same Day",1044
"Furniture","Bookcases","discount","Corporate","East","Second Class",1.6
"Furniture","Bookcases","number_of_records","Corporate","East","Second Class",6
"Furniture","Bookcases","profit","Corporate","East","Second Class",-357
"Furniture","Bookcases","profit_ratio","Corporate","East","Second Class",-0.83
"Furniture","Bookcases","quantity","Corporate","East","Second Class",23
"Furniture","Bookcases","sales","Corporate","East","Second Class",3424
"Furniture","Bookcases","discount","Corporate","East","Standard Class",2.4
"Furniture","Bookcases","number_of_records","Corporate","East","Standard Class",11
"Furniture","Bookcases","profit","Corporate","East","Standard Class",897
"Furniture","Bookcases","profit_ratio","Corporate","East","Standard Class",-1.05
"Furniture","Bookcases","quantity","Corporate","East","Standard Class",43
"Furniture","Bookcases","sales","Corporate","East","Standard Class",7917
"Furniture","Bookcases","discount","Corporate","South","First Class",0
"Furniture","Bookcases","number_of_records","Corporate","South","First Class",1
"Furniture","Bookcases","profit","Corporate","South","First Class",76
"Furniture","Bookcases","profit_ratio","Corporate","South","First Class",0.25
"Furniture","Bookcases","quantity","Corporate","South","First Class",3
"Furniture","Bookcases","sales","Corporate","South","First Class",303
"Furniture","Bookcases","discount","Corporate","South","Second Class",0.2
"Furniture","Bookcases","number_of_records","Corporate","South","Second Class",1
"Furniture","Bookcases","profit","Corporate","South","Second Class",6
"Furniture","Bookcases","profit_ratio","Corporate","South","Second Class",0.03
"Furniture","Bookcases","quantity","Corporate","South","Second Class",5
"Furniture","Bookcases","sales","Corporate","South","Second Class",232
"Furniture","Bookcases","discount","Corporate","South","Standard Class",0.6000000000000001
"Furniture","Bookcases","number_of_records","Corporate","South","Standard Class",3
"Furniture","Bookcases","profit","Corporate","South","Standard Class",-13
"Furniture","Bookcases","profit_ratio","Corporate","South","Standard Class",-0.06
"Furniture","Bookcases","quantity","Corporate","South","Standard Class",12
"Furniture","Bookcases","sales","Corporate","South","Standard Class",619
"Furniture","Bookcases","discount","Corporate","West","First Class",2.3
"Furniture","Bookcases","number_of_records","Corporate","West","First Class",8
"Furniture","Bookcases","profit","Corporate","West","First Class",-182
"Furniture","Bookcases","profit_ratio","Corporate","West","First Class",-3.2800000000000002
"Furniture","Bookcases","quantity","Corporate","West","First Class",41
"Furniture","Bookcases","sales","Corporate","West","First Class",4295
"Furniture","Bookcases","discount","Corporate","West","Second Class",0.15
"Furniture","Bookcases","number_of_records","Corporate","West","Second Class",2
"Furniture","Bookcases","profit","Corporate","West","Second Class",289
"Furniture","Bookcases","profit_ratio","Corporate","West","Second Class",0.24
"Furniture","Bookcases","quantity","Corporate","West","Second Class",8
"Furniture","Bookcases","sales","Corporate","West","Second Class",2487
"Furniture","Bookcases","discount","Corporate","West","Standard Class",2.4499999999999997
"Furniture","Bookcases","number_of_records","Corporate","West","Standard Class",10
"Furniture","Bookcases","profit","Corporate","West","Standard Class",-119
"Furniture","Bookcases","profit_ratio","Corporate","West","Standard Class",-2.86
"Furniture","Bookcases","quantity","Corporate","West","Standard Class",44
"Furniture","Bookcases","sales","Corporate","West","Standard Class",4513
"Furniture","Bookcases","discount","Home Office","Central","First Class",0.94
"Furniture","Bookcases","number_of_records","Home Office","Central","First Class",3
"Furniture","Bookcases","profit","Home Office","Central","First Class",-121
"Furniture","Bookcases","profit_ratio","Home Office","Central","First Class",-0.47
"Furniture","Bookcases","quantity","Home Office","Central","First Class",8
"Furniture","Bookcases","sales","Home Office","Central","First Class",831
"Furniture","Bookcases","discount","Home Office","Central","Second Class",0
"Furniture","Bookcases","number_of_records","Home Office","Central","Second Class",2
"Furniture","Bookcases","profit","Home Office","Central","Second Class",89
"Furniture","Bookcases","profit_ratio","Home Office","Central","Second Class",0.24000000000000002
"Furniture","Bookcases","quantity","Home Office","Central","Second Class",7
"Furniture","Bookcases","sales","Home Office","Central","Second Class",929
"Furniture","Bookcases","discount","Home Office","Central","Standard Class",0.64
"Furniture","Bookcases","number_of_records","Home Office","Central","Standard Class",3
"Furniture","Bookcases","profit","Home Office","Central","Standard Class",-87
"Furniture","Bookcases","profit_ratio","Home Office","Central","Standard Class",-0.13999999999999999
"Furniture","Bookcases","quantity","Home Office","Central","Standard Class",8
"Furniture","Bookcases","sales","Home Office","Central","Standard Class",1046
"Furniture","Bookcases","discount","Home Office","East","First Class",0.4
"Furniture","Bookcases","number_of_records","Home Office","East","First Class",2
"Furniture","Bookcases","profit","Home Office","East","First Class",159
"Furniture","Bookcases","profit_ratio","Home Office","East","First Class",0.21000000000000002
"Furniture","Bookcases","quantity","Home Office","East","First Class",7
"Furniture","Bookcases","sales","Home Office","East","First Class",1525
"Furniture","Bookcases","discount","Home Office","East","Same Day",0.2
"Furniture","Bookcases","number_of_records","Home Office","East","Same Day",1
"Furniture","Bookcases","profit","Home Office","East","Same Day",13
"Furniture","Bookcases","profit_ratio","Home Office","East","Same Day",0.11
"Furniture","Bookcases","quantity","Home Office","East","Same Day",2
"Furniture","Bookcases","sales","Home Office","East","Same Day",114
"Furniture","Bookcases","discount","Home Office","East","Second Class",0.7
"Furniture","Bookcases","number_of_records","Home Office","East","Second Class",3
"Furniture","Bookcases","profit","Home Office","East","Second Class",-55
"Furniture","Bookcases","profit_ratio","Home Office","East","Second Class",-0.51
"Furniture","Bookcases","quantity","Home Office","East","Second Class",7
"Furniture","Bookcases","sales","Home Office","East","Second Class",534
"Furniture","Bookcases","discount","Home Office","East","Standard Class",0.5
"Furniture","Bookcases","number_of_records","Home Office","East","Standard Class",4
"Furniture","Bookcases","profit","Home Office","East","Standard Class",-58
"Furniture","Bookcases","profit_ratio","Home Office","East","Standard Class",-0.08999999999999997
"Furniture","Bookcases","quantity","Home Office","East","Standard Class",12
"Furniture","Bookcases","sales","Home Office","East","Standard Class",1170
"Furniture","Bookcases","discount","Home Office","South","Same Day",0
"Furniture","Bookcases","number_of_records","Home Office","South","Same Day",1
"Furniture","Bookcases","profit","Home Office","South","Same Day",53
"Furniture","Bookcases","profit_ratio","Home Office","South","Same Day",0.22
"Furniture","Bookcases","quantity","Home Office","South","Same Day",2
"Furniture","Bookcases","sales","Home Office","South","Same Day",240
"Furniture","Bookcases","discount","Home Office","South","Second Class",0
"Furniture","Bookcases","number_of_records","Home Office","South","Second Class",1
"Furniture","Bookcases","profit","Home Office","South","Second Class",4
"Furniture","Bookcases","profit_ratio","Home Office","South","Second Class",0.07
"Furniture","Bookcases","quantity","Home Office","South","Second Class",2
"Furniture","Bookcases","sales","Home Office","South","Second Class",62
"Furniture","Bookcases","discount","Home Office","South","Standard Class",0.4
"Furniture","Bookcases","number_of_records","Home Office","South","Standard Class",2
"Furniture","Bookcases","profit","Home Office","South","Standard Class",-7
"Furniture","Bookcases","profit_ratio","Home Office","South","Standard Class",-0.02
"Furniture","Bookcases","quantity","Home Office","South","Standard Class",9
"Furniture","Bookcases","sales","Home Office","South","Standard Class",727
"Furniture","Bookcases","discount","Home Office","West","First Class",0.3
"Furniture","Bookcases","number_of_records","Home Office","West","First Class",2
"Furniture","Bookcases","profit","Home Office","West","First Class",111
"Furniture","Bookcases","profit_ratio","Home Office","West","First Class",0.03
"Furniture","Bookcases","quantity","Home Office","West","First Class",7
"Furniture","Bookcases","sales","Home Office","West","First Class",2012
"Furniture","Bookcases","discount","Home Office","West","Same Day",0.3
"Furniture","Bookcases","number_of_records","Home Office","West","Same Day",2
"Furniture","Bookcases","profit","Home Office","West","Same Day",30
"Furniture","Bookcases","profit_ratio","Home Office","West","Same Day",0.049999999999999996
"Furniture","Bookcases","quantity","Home Office","West","Same Day",9
"Furniture","Bookcases","sales","Home Office","West","Same Day",1010
"Furniture","Bookcases","discount","Home Office","West","Second Class",0.3
"Furniture","Bookcases","number_of_records","Home Office","West","Second Class",2
"Furniture","Bookcases","profit","Home Office","West","Second Class",86
"Furniture","Bookcases","profit_ratio","Home Office","West","Second Class",0.16999999999999998
"Furniture","Bookcases","quantity","Home Office","West","Second Class",13
"Furniture","Bookcases","sales","Home Office","West","Second Class",1346
"Furniture","Bookcases","discount","Home Office","West","Standard Class",0.44999999999999996
"Furniture","Bookcases","number_of_records","Home Office","West","Standard Class",5
"Furniture","Bookcases","profit","Home Office","West","Standard Class",105
"Furniture","Bookcases","profit_ratio","Home Office","West","Standard Class",0.79
"Furniture","Bookcases","quantity","Home Office","West","Standard Class",8
"Furniture","Bookcases","sales","Home Office","West","Standard Class",694
"Furniture","Chairs","discount","Consumer","Central","First Class",1.5
"Furniture","Chairs","number_of_records","Consumer","Central","First Class",7
"Furniture","Chairs","profit","Consumer","Central","First Class",982
"Furniture","Chairs","profit_ratio","Consumer","Central","First Class",0.12000000000000001
"Furniture","Chairs","quantity","Consumer","Central","First Class",33
"Furniture","Chairs","sales","Consumer","Central","First Class",6896
"Furniture","Chairs","discount","Consumer","Central","Same Day",0.8999999999999999
"Furniture","Chairs","number_of_records","Consumer","Central","Same Day",8
"Furniture","Chairs","profit","Consumer","Central","Same Day",260
"Furniture","Chairs","profit_ratio","Consumer","Central","Same Day",0.8
"Furniture","Chairs","quantity","Consumer","Central","Same Day",38
"Furniture","Chairs","sales","Consumer","Central","Same Day",6276
"Furniture","Chairs","discount","Consumer","Central","Second Class",3.9
"Furniture","Chairs","number_of_records","Consumer","Central","Second Class",17
"Furniture","Chairs","profit","Consumer","Central","Second Class",-242
"Furniture","Chairs","profit_ratio","Consumer","Central","Second Class",-1.03
"Furniture","Chairs","quantity","Consumer","Central","Second Class",55
"Furniture","Chairs","sales","Consumer","Central","Second Class",3793
"Furniture","Chairs","discount","Consumer","Central","Standard Class",9.9
"Furniture","Chairs","number_of_records","Consumer","Central","Standard Class",49
"Furniture","Chairs","profit","Consumer","Central","Standard Class",1920
"Furniture","Chairs","profit_ratio","Consumer","Central","Standard Class",-0.15000000000000008
"Furniture","Chairs","quantity","Consumer","Central","Standard Class",181
"Furniture","Chairs","sales","Consumer","Central","Standard Class",25966
"Furniture","Chairs","discount","Consumer","East","First Class",2.8
"Furniture","Chairs","number_of_records","Consumer","East","First Class",17
"Furniture","Chairs","profit","Consumer","East","First Class",513
"Furniture","Chairs","profit_ratio","Consumer","East","First Class",0.52
"Furniture","Chairs","quantity","Consumer","East","First Class",67
"Furniture","Chairs","sales","Consumer","East","First Class",8339
"Furniture","Chairs","discount","Consumer","East","Same Day",0.5
"Furniture","Chairs","number_of_records","Consumer","East","Same Day",3
"Furniture","Chairs","profit","Consumer","East","Same Day",47
"Furniture","Chairs","profit_ratio","Consumer","East","Same Day",-0.1
"Furniture","Chairs","quantity","Consumer","East","Same Day",9
"Furniture","Chairs","sales","Consumer","East","Same Day",558
"Furniture","Chairs","discount","Consumer","East","Second Class",2.9
"Furniture","Chairs","number_of_records","Consumer","East","Second Class",19
"Furniture","Chairs","profit","Consumer","East","Second Class",950
"Furniture","Chairs","profit_ratio","Consumer","East","Second Class",1.27
"Furniture","Chairs","quantity","Consumer","East","Second Class",85
"Furniture","Chairs","sales","Consumer","East","Second Class",17995
"Furniture","Chairs","discount","Consumer","East","Standard Class",9
"Furniture","Chairs","number_of_records","Consumer","East","Standard Class",55
"Furniture","Chairs","profit","Consumer","East","Standard Class",3410
"Furniture","Chairs","profit_ratio","Consumer","East","Standard Class",3.39
"Furniture","Chairs","quantity","Consumer","East","Standard Class",226
"Furniture","Chairs","sales","Consumer","East","Standard Class",32755
"Furniture","Chairs","discount","Consumer","South","First Class",0
"Furniture","Chairs","number_of_records","Consumer","South","First Class",1
"Furniture","Chairs","profit","Consumer","South","First Class",168
"Furniture","Chairs","profit_ratio","Consumer","South","First Class",0.24
"Furniture","Chairs","quantity","Consumer","South","First Class",2
"Furniture","Chairs","sales","Consumer","South","First Class",702
"Furniture","Chairs","discount","Consumer","South","Same Day",0.4
"Furniture","Chairs","number_of_records","Consumer","South","Same Day",3
"Furniture","Chairs","profit","Consumer","South","Same Day",162
"Furniture","Chairs","profit_ratio","Consumer","South","Same Day",0.46
"Furniture","Chairs","quantity","Consumer","South","Same Day",13
"Furniture","Chairs","sales","Consumer","South","Same Day",1514
"Furniture","Chairs","discount","Consumer","South","Second Class",0.6000000000000001
"Furniture","Chairs","number_of_records","Consumer","South","Second Class",16
"Furniture","Chairs","profit","Consumer","South","Second Class",1586
"Furniture","Chairs","profit_ratio","Consumer","South","Second Class",3.31
"Furniture","Chairs","quantity","Consumer","South","Second Class",61
"Furniture","Chairs","sales","Consumer","South","Second Class",7837
"Furniture","Chairs","discount","Consumer","South","Standard Class",3.6
"Furniture","Chairs","number_of_records","Consumer","South","Standard Class",33
"Furniture","Chairs","profit","Consumer","South","Standard Class",2101
"Furniture","Chairs","profit_ratio","Consumer","South","Standard Class",3.76
"Furniture","Chairs","quantity","Consumer","South","Standard Class",119
"Furniture","Chairs","sales","Consumer","South","Standard Class",16752
"Furniture","Chairs","discount","Consumer","West","First Class",3.2
"Furniture","Chairs","number_of_records","Consumer","West","First Class",16
"Furniture","Chairs","profit","Consumer","West","First Class",-82
"Furniture","Chairs","profit_ratio","Consumer","West","First Class",-0.41000000000000003
"Furniture","Chairs","quantity","Consumer","West","First Class",55
"Furniture","Chairs","sales","Consumer","West","First Class",7873
"Furniture","Chairs","discount","Consumer","West","Same Day",1.2000000000000002
"Furniture","Chairs","number_of_records","Consumer","West","Same Day",6
"Furniture","Chairs","profit","Consumer","West","Same Day",128
"Furniture","Chairs","profit_ratio","Consumer","West","Same Day",0.3
"Furniture","Chairs","quantity","Consumer","West","Same Day",23
"Furniture","Chairs","sales","Consumer","West","Same Day",2112
"Furniture","Chairs","discount","Consumer","West","Second Class",4.2
"Furniture","Chairs","number_of_records","Consumer","West","Second Class",21
"Furniture","Chairs","profit","Consumer","West","Second Class",386
"Furniture","Chairs","profit_ratio","Consumer","West","Second Class",0.63
"Furniture","Chairs","quantity","Consumer","West","Second Class",68
"Furniture","Chairs","sales","Consumer","West","Second Class",9417
"Furniture","Chairs","discount","Consumer","West","Standard Class",11.600000000000001
"Furniture","Chairs","number_of_records","Consumer","West","Standard Class",58
"Furniture","Chairs","profit","Consumer","West","Standard Class",945
"Furniture","Chairs","profit_ratio","Consumer","West","Standard Class",1.04
"Furniture","Chairs","quantity","Consumer","West","Standard Class",199
"Furniture","Chairs","sales","Consumer","West","Standard Class",24084
"Furniture","Chairs","discount","Corporate","Central","First Class",1.2
"Furniture","Chairs","number_of_records","Corporate","Central","First Class",4
"Furniture","Chairs","profit","Corporate","Central","First Class",-125
"Furniture","Chairs","profit_ratio","Corporate","Central","First Class",-0.32
"Furniture","Chairs","quantity","Corporate","Central","First Class",21
"Furniture","Chairs","sales","Corporate","Central","First Class",2329
"Furniture","Chairs","discount","Corporate","Central","Second Class",1.5
"Furniture","Chairs","number_of_records","Corporate","Central","Second Class",9
"Furniture","Chairs","profit","Corporate","Central","Second Class",1597
"Furniture","Chairs","profit_ratio","Corporate","Central","Second Class",0.030000000000000054
"Furniture","Chairs","quantity","Corporate","Central","Second Class",31
"Furniture","Chairs","sales","Corporate","Central","Second Class",8536
"Furniture","Chairs","discount","Corporate","Central","Standard Class",4.8
"Furniture","Chairs","number_of_records","Corporate","Central","Standard Class",32
"Furniture","Chairs","profit","Corporate","Central","Standard Class",1736
"Furniture","Chairs","profit_ratio","Corporate","Central","Standard Class",1.94
"Furniture","Chairs","quantity","Corporate","Central","Standard Class",126
"Furniture","Chairs","sales","Corporate","Central","Standard Class",17125
"Furniture","Chairs","discount","Corporate","East","First Class",0.8999999999999999
"Furniture","Chairs","number_of_records","Corporate","East","First Class",6
"Furniture","Chairs","profit","Corporate","East","First Class",247
"Furniture","Chairs","profit_ratio","Corporate","East","First Class",0.18
"Furniture","Chairs","quantity","Corporate","East","First Class",27
"Furniture","Chairs","sales","Corporate","East","First Class",3122
"Furniture","Chairs","discount","Corporate","East","Same Day",1.1
"Furniture","Chairs","number_of_records","Corporate","East","Same Day",6
"Furniture","Chairs","profit","Corporate","East","Same Day",491
"Furniture","Chairs","profit_ratio","Corporate","East","Same Day",0.24
"Furniture","Chairs","quantity","Corporate","East","Same Day",29
"Furniture","Chairs","sales","Corporate","East","Same Day",4503
"Furniture","Chairs","discount","Corporate","East","Second Class",1.5
"Furniture","Chairs","number_of_records","Corporate","East","Second Class",11
"Furniture","Chairs","profit","Corporate","East","Second Class",483
"Furniture","Chairs","profit_ratio","Corporate","East","Second Class",0.74
"Furniture","Chairs","quantity","Corporate","East","Second Class",41
"Furniture","Chairs","sales","Corporate","East","Second Class",4784
"Furniture","Chairs","discount","Corporate","East","Standard Class",2.9
"Furniture","Chairs","number_of_records","Corporate","East","Standard Class",23
"Furniture","Chairs","profit","Corporate","East","Standard Class",1500
"Furniture","Chairs","profit_ratio","Corporate","East","Standard Class",2.14
"Furniture","Chairs","quantity","Corporate","East","Standard Class",92
"Furniture","Chairs","sales","Corporate","East","Standard Class",11098
"Furniture","Chairs","discount","Corporate","South","First Class",1
"Furniture","Chairs","number_of_records","Corporate","South","First Class",5
"Furniture","Chairs","profit","Corporate","South","First Class",-119
"Furniture","Chairs","profit_ratio","Corporate","South","First Class",0.02999999999999997
"Furniture","Chairs","quantity","Corporate","South","First Class",16
"Furniture","Chairs","sales","Corporate","South","First Class",2279
"Furniture","Chairs","discount","Corporate","South","Second Class",0.6000000000000001
"Furniture","Chairs","number_of_records","Corporate","South","Second Class",8
"Furniture","Chairs","profit","Corporate","South","Second Class",675
"Furniture","Chairs","profit_ratio","Corporate","South","Second Class",0.97
"Furniture","Chairs","quantity","Corporate","South","Second Class",33
"Furniture","Chairs","sales","Corporate","South","Second Class",4346
"Furniture","Chairs","discount","Corporate","South","Standard Class",1.8
"Furniture","Chairs","number_of_records","Corporate","South","Standard Class",13
"Furniture","Chairs","profit","Corporate","South","Standard Class",626
"Furniture","Chairs","profit_ratio","Corporate","South","Standard Class",0.98
"Furniture","Chairs","quantity","Corporate","South","Standard Class",53
"Furniture","Chairs","sales","Corporate","South","Standard Class",4741
"Furniture","Chairs","discount","Corporate","West","First Class",2.4000000000000004
"Furniture","Chairs","number_of_records","Corporate","West","First Class",12
"Furniture","Chairs","profit","Corporate","West","First Class",71
"Furniture","Chairs","profit_ratio","Corporate","West","First Class",-0.12
"Furniture","Chairs","quantity","Corporate","West","First Class",37
"Furniture","Chairs","sales","Corporate","West","First Class",6598
"Furniture","Chairs","discount","Corporate","West","Same Day",0.8
"Furniture","Chairs","number_of_records","Corporate","West","Same Day",4
"Furniture","Chairs","profit","Corporate","West","Same Day",-142
"Furniture","Chairs","profit_ratio","Corporate","West","Same Day",-0.020000000000000004
"Furniture","Chairs","quantity","Corporate","West","Same Day",20
"Furniture","Chairs","sales","Corporate","West","Same Day",2993
"Furniture","Chairs","discount","Corporate","West","Second Class",2.8000000000000003
"Furniture","Chairs","number_of_records","Corporate","West","Second Class",14
"Furniture","Chairs","profit","Corporate","West","Second Class",235
"Furniture","Chairs","profit_ratio","Corporate","West","Second Class",0.5700000000000001
"Furniture","Chairs","quantity","Corporate","West","Second Class",36
"Furniture","Chairs","sales","Corporate","West","Second Class",5016
"Furniture","Chairs","discount","Corporate","West","Standard Class",8.200000000000001
"Furniture","Chairs","number_of_records","Corporate","West","Standard Class",41
"Furniture","Chairs","profit","Corporate","West","Standard Class",1068
"Furniture","Chairs","profit_ratio","Corporate","West","Standard Class",1.59
"Furniture","Chairs","quantity","Corporate","West","Standard Class",157
"Furniture","Chairs","sales","Corporate","West","Standard Class",21671
"Furniture","Chairs","discount","Home Office","Central","First Class",0.6
"Furniture","Chairs","number_of_records","Home Office","Central","First Class",4
"Furniture","Chairs","profit","Home Office","Central","First Class",56
"Furniture","Chairs","profit_ratio","Home Office","Central","First Class",0.19
"Furniture","Chairs","quantity","Home Office","Central","First Class",23
"Furniture","Chairs","sales","Home Office","Central","First Class",1317
"Furniture","Chairs","discount","Home Office","Central","Same Day",0.6
"Furniture","Chairs","number_of_records","Home Office","Central","Same Day",2
"Furniture","Chairs","profit","Home Office","Central","Same Day",-53
"Furniture","Chairs","profit_ratio","Home Office","Central","Same Day",-0.1
"Furniture","Chairs","quantity","Home Office","Central","Same Day",3
"Furniture","Chairs","sales","Home Office","Central","Same Day",791
"Furniture","Chairs","discount","Home Office","Central","Second Class",1.5
"Furniture","Chairs","number_of_records","Home Office","Central","Second Class",6
"Furniture","Chairs","profit","Home Office","Central","Second Class",161
"Furniture","Chairs","profit_ratio","Home Office","Central","Second Class",-0.62
